Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.819E+03,2.000E-01,9.317E-02,1.947E-02,7.760E-02,1.902E-01
2.819E+03,2.137E-01,1.075E-01,2.124E-02,7.047E-02,1.993E-01
2.819E+03,2.162E-01,1.237E-01,2.314E-02,6.209E-02,2.090E-01
2.820E+03,2.310E-01,1.418E-01,2.519E-02,5.314E-02,2.201E-01
2.820E+03,2.416E-01,1.606E-01,2.724E-02,4.479E-02,2.326E-01
2.820E+03,2.569E-01,1.828E-01,2.960E-02,3.631E-02,2.487E-01
2.820E+03,2.557E-01,2.073E-01,3.213E-02,2.865E-02,2.681E-01
2.820E+03,2.745E-01,2.361E-01,3.503E-02,2.165E-02,2.928E-01
2.820E+03,3.267E-01,2.657E-01,3.795E-02,1.625E-02,3.199E-01
2.820E+03,3.335E-01,2.978E-01,4.106E-02,1.195E-02,3.508E-01
2.821E+03,3.848E-01,3.326E-01,4.439E-02,8.654E-03,3.856E-01
2.821E+03,4.042E-01,3.674E-01,4.770E-02,6.345E-03,4.215E-01
2.821E+03,4.463E-01,4.072E-01,5.146E-02,4.541E-03,4.633E-01
2.821E+03,4.727E-01,4.526E-01,5.574E-02,3.206E-03,5.115E-01
2.821E+03,5.098E-01,4.976E-01,6.001E-02,2.359E-03,5.600E-01
2.821E+03,5.706E-01,5.450E-01,6.454E-02,1.789E-03,6.113E-01
2.821E+03,6.339E-01,5.912E-01,6.901E-02,1.429E-03,6.616E-01
2.822E+03,6.995E-01,6.461E-01,7.441E-02,1.152E-03,7.217E-01
2.822E+03,7.351E-01,6.993E-01,7.978E-02,9.774E-04,7.801E-01
2.822E+03,8.292E-01,7.539E-01,8.544E-02,8.537E-04,8.402E-01
2.822E+03,8.824E-01,8.059E-01,9.099E-02,7.677E-04,8.976E-01
2.822E+03,9.359E-01,8.660E-01,9.767E-02,6.915E-04,9.643E-01
2.822E+03,1.001E+00,9.226E-01,1.043E-01,6.339E-04,1.027E+00
2.823E+03,1.087E+00,9.753E-01,1.107E-01,5.883E-04,1.087E+00
2.823E+03,1.159E+00,1.031E+00,1.179E-01,5.457E-04,1.150E+00
2.823E+03,1.250E+00,1.089E+00,1.260E-01,5.059E-04,1.216E+00
2.823E+03,1.341E+00,1.142E+00,1.339E-01,4.725E-04,1.277E+00
2.823E+03,1.387E+00,1.190E+00,1.417E-01,4.444E-04,1.332E+00
2.823E+03,1.424E+00,1.241E+00,1.508E-01,4.152E-04,1.392E+00
2.823E+03,1.503E+00,1.286E+00,1.598E-01,3.904E-04,1.446E+00
2.824E+03,1.543E+00,1.324E+00,1.685E-01,3.691E-04,1.493E+00
2.824E+03,1.568E+00,1.364E+00,1.789E-01,3.469E-04,1.543E+00
2.824E+03,1.610E+00,1.394E+00,1.882E-01,3.290E-04,1.582E+00
2.824E+03,1.643E+00,1.421E+00,1.986E-01,3.114E-04,1.620E+00
2.824E+03,1.650E+00,1.445E+00,2.101E-01,2.940E-04,1.655E+00
2.824E+03,1.657E+00,1.461E+00,2.205E-01,2.800E-04,1.681E+00
2.824E+03,1.664E+00,1.472E+00,2.327E-01,2.652E-04,1.705E+00
2.825E+03,1.678E+00,1.477E+00,2.438E-01,2.531E-04,1.721E+00
2.825E+03,1.657E+00,1.476E+00,2.568E-01,2.403E-04,1.733E+00
2.825E+03,1.685E+00,1.469E+00,2.693E-01,2.292E-04,1.738E+00
2.825E+03,1.682E+00,1.457E+00,2.813E-01,2.194E-04,1.738E+00
2.825E+03,1.676E+00,1.437E+00,2.954E-01,2.091E-04,1.733E+00
2.825E+03,1.719E+00,1.415E+00,3.080E-01,2.006E-04,1.723E+00
2.826E+03,1.695E+00,1.384E+00,3.227E-01,1.915E-04,1.707E+00
2.826E+03,1.729E+00,1.352E+00,3.359E-01,1.840E-04,1.688E+00
2.826E+03,1.708E+00,1.311E+00,3.513E-01,1.760E-04,1.663E+00
2.826E+03,1.647E+00,1.272E+00,3.650E-01,1.694E-04,1.637E+00
2.826E+03,1.607E+00,1.223E+00,3.810E-01,1.623E-04,1.604E+00
2.826E+03,1.619E+00,1.178E+00,3.952E-01,1.565E-04,1.573E+00
2.826E+03,1.556E+00,1.123E+00,4.117E-01,1.502E-04,1.534E+00
2.827E+03,1.549E+00,1.073E+00,4.263E-01,1.450E-04,1.499E+00
2.827E+03,1.474E+00,1.018E+00,4.421E-01,1.397E-04,1.460E+00
2.827E+03,1.450E+00,9.584E-01,4.592E-01,1.343E-04,1.418E+00
2.827E+03,1.357E+00,9.058E-01,4.743E-01,1.299E-04,1.380E+00
2.827E+03,1.339E+00,8.456E-01,4.916E-01,1.251E-04,1.337E+00
2.827E+03,1.334E+00,7.933E-01,5.069E-01,1.212E-04,1.300E+00
2.827E+03,1.287E+00,7.344E-01,5.244E-01,1.168E-04,1.259E+00
2.828E+03,1.210E+00,6.804E-01,5.408E-01,1.130E-04,1.221E+00
2.828E+03,1.133E+00,6.313E-01,5.561E-01,1.096E-04,1.188E+00
2.828E+03,1.038E+00,5.772E-01,5.736E-01,1.059E-04,1.151E+00
2.828E+03,1.030E+00,5.317E-01,5.888E-01,1.028E-04,1.121E+00
2.828E+03,1.013E+00,4.851E-01,6.050E-01,9.957E-05,1.090E+00
2.828E+03,1.014E+00,4.380E-01,6.222E-01,9.634E-05,1.060E+00
2.829E+03,9.965E-01,3.991E-01,6.370E-01,9.364E-05,1.036E+00
2.829E+03,9.759E-01,3.599E-01,6.526E-01,9.088E-05,1.013E+00
2.829E+03,9.695E-01,3.210E-01,6.691E-01,8.805E-05,9.902E-01
2.829E+03,9.643E-01,2.894E-01,6.832E-01,8.569E-05,9.727E-01
2.829E+03,9.610E-01,2.580E-01,6.980E-01,8.327E-05,9.561E-01
2.829E+03,9.576E-01,2.274E-01,7.135E-01,8.079E-05,9.409E-01
2.829E+03,9.550E-01,2.012E-01,7.276E-01,7.856E-05,9.288E-01
2.830E+03,9.490E-01,1.788E-01,7.404E-01,7.657E-05,9.193E-01
2.830E+03,9.496E-01,1.571E-01,7.538E-01,7.452E-05,9.110E-01
2.830E+03,9.547E-01,1.363E-01,7.676E-01,7.242E-05,9.039E-01
2.830E+03,9.522E-01,1.189E-01,7.801E-01,7.053E-05,8.990E-01
2.830E+03,9.526E-01,1.043E-01,7.913E-01,6.883E-05,8.956E-01
2.830E+03,9.377E-01,9.033E-02,8.029E-01,6.708E-05,8.933E-01
2.830E+03,9.395E-01,7.723E-02,8.148E-01,6.528E-05,8.921E-01
2.831E+03,9.237E-01,6.647E-02,8.255E-01,6.366E-05,8.920E-01
2.831E+03,9.257E-01,5.762E-02,8.350E-01,6.220E-05,8.927E-01
2.831E+03,9.270E-01,4.931E-02,8.448E-01,6.069E-05,8.942E-01
2.831E+03,9.092E-01,4.208E-02,8.542E-01,5.924E-05,8.963E-01
2.831E+03,9.118E-01,3.544E-02,8.636E-01,5.775E-05,8.991E-01
2.831E+03,9.342E-01,3.010E-02,8.721E-01,5.640E-05,9.022E-01
2.832E+03,9.076E-01,2.552E-02,8.801E-01,5.509E-05,9.056E-01
2.832E+03,9.168E-01,2.161E-02,8.877E-01,5.383E-05,9.093E-01
2.832E+03,9.034E-01,1.848E-02,8.944E-01,5.270E-05,9.129E-01
2.832E+03,9.067E-01,1.563E-02,9.012E-01,5.152E-05,9.169E-01
2.832E+03,9.069E-01,1.321E-02,9.077E-01,5.038E-05,9.209E-01
2.832E+03,8.831E-01,1.118E-02,9.138E-01,4.928E-05,9.250E-01
2.832E+03,9.084E-01,9.367E-03,9.199E-01,4.814E-05,9.293E-01
2.833E+03,8.909E-01,7.957E-03,9.253E-01,4.711E-05,9.333E-01
2.833E+03,8.697E-01,6.781E-03,9.304E-01,4.612E-05,9.372E-01
2.833E+03,9.003E-01,5.803E-03,9.352E-01,4.515E-05,9.410E-01
2.833E+03,8.917E-01,4.992E-03,9.397E-01,4.422E-05,9.447E-01
2.833E+03,8.868E-01,4.320E-03,9.439E-01,4.331E-05,9.482E-01
2.833E+03,9.321E-01,3.766E-03,9.479E-01,4.243E-05,9.517E-01
2.833E+03,9.136E-01,3.308E-03,9.516E-01,4.158E-05,9.549E-01
2.834E+03,9.155E-01,2.930E-03,9.551E-01,4.075E-05,9.580E-01
2.834E+03,8.963E-01,2.619E-03,9.583E-01,3.995E-05,9.610E-01
2.834E+03,9.440E-01,2.361E-03,9.614E-01,3.917E-05,9.638E-01
2.834E+03,9.627E-01,2.149E-03,9.642E-01,3.841E-05,9.664E-01
2.834E+03,9.394E-01,1.972E-03,9.669E-01,3.767E-05,9.689E-01
2.834E+03,9.852E-01,1.825E-03,9.694E-01,3.696E-05,9.713E-01
2.835E+03,9.616E-01,1.702E-03,9.717E-01,3.627E-05,9.735E-01
2.835E+03,9.629E-01,1.598E-03,9.739E-01,3.559E-05,9.756E-01
2.835E+03,1.003E+00,1.510E-03,9.759E-01,3.493E-05,9.775E-01
2.835E+03,9.995E-01,1.435E-03,9.778E-01,3.430E-05,9.793E-01
2.835E+03,1.013E+00,1.370E-03,9.796E-01,3.367E-05,9.810E-01
2.835E+03,1.024E+00,1.313E-03,9.812E-01,3.307E-05,9.826E-01
2.835E+03,1.003E+00,1.263E-03,9.827E-01,3.248E-05,9.840E-01
2.836E+03,1.005E+00,1.221E-03,9.840E-01,3.195E-05,9.853E-01
2.836E+03,1.020E+00,1.181E-03,9.853E-01,3.139E-05,9.865E-01
2.836E+03,1.004E+00,1.144E-03,9.865E-01,3.084E-05,9.877E-01
2.836E+03,9.993E-01,1.110E-03,9.877E-01,3.031E-05,9.888E-01
2.836E+03,1.005E+00,1.077E-03,9.888E-01,2.976E-05,9.899E-01
2.836E+03,9.908E-01,1.048E-03,9.897E-01,2.926E-05,9.908E-01
2.836E+03,1.009E+00,1.020E-03,9.906E-01,2.877E-05,9.916E-01
2.837E+03,9.887E-01,9.964E-04,9.914E-01,2.832E-05,9.924E-01
2.837E+03,9.852E-01,9.718E-04,9.921E-01,2.786E-05,9.931E-01
2.837E+03,9.696E-01,9.484E-04,9.928E-01,2.740E-05,9.938E-01
2.837E+03,9.769E-01,9.246E-04,9.935E-01,2.693E-05,9.944E-01
2.837E+03,9.540E-01,9.032E-04,9.941E-01,2.650E-05,9.950E-01
2.837E+03,9.892E-01,8.827E-04,9.946E-01,2.607E-05,9.955E-01
2.838E+03,9.811E-01,8.642E-04,9.950E-01,2.569E-05,9.959E-01
2.838E+03,9.778E-01,8.439E-04,9.955E-01,2.526E-05,9.964E-01
2.838E+03,9.604E-01,8.255E-04,9.959E-01,2.486E-05,9.968E-01
2.838E+03,9.878E-01,8.077E-04,9.963E-01,2.448E-05,9.971E-01
2.838E+03,9.610E-01,7.917E-04,9.966E-01,2.413E-05,9.974E-01
2.838E+03,9.738E-01,7.750E-04,9.969E-01,2.376E-05,9.977E-01
2.838E+03,9.659E-01,7.578E-04,9.973E-01,2.338E-05,9.980E-01
2.839E+03,9.891E-01,7.422E-04,9.975E-01,2.303E-05,9.983E-01
2.839E+03,9.986E-01,7.281E-04,9.977E-01,2.271E-05,9.985E-01
2.839E+03,9.943E-01,7.124E-04,9.980E-01,2.235E-05,9.987E-01
2.839E+03,1.015E+00,6.982E-04,9.982E-01,2.202E-05,9.989E-01
2.839E+03,1.010E+00,6.853E-04,9.983E-01,2.172E-05,9.990E-01
2.839E+03,1.013E+00,6.710E-04,9.985E-01,2.139E-05,9.992E-01
2.839E+03,1.000E+00,6.580E-04,9.987E-01,2.108E-05,9.993E-01
2.840E+03,1.030E+00,6.461E-04,9.988E-01,2.080E-05,9.994E-01
2.840E+03,1.025E+00,6.330E-04,9.989E-01,2.049E-05,9.996E-01
2.840E+03,1.020E+00,6.211E-04,9.990E-01,2.020E-05,9.997E-01
2.840E+03,1.021E+00,6.102E-04,9.991E-01,1.994E-05,9.997E-01
2.840E+03,1.041E+00,5.982E-04,9.992E-01,1.964E-05,9.998E-01
2.840E+03,1.036E+00,5.879E-04,9.993E-01,1.939E-05,9.999E-01
2.841E+03,1.042E+00,5.765E-04,9.994E-01,1.911E-05,1.000E+00
2.841E+03,1.021E+00,5.661E-04,9.994E-01,1.885E-05,1.000E+00
2.841E+03,1.028E+00,5.566E-04,9.995E-01,1.861E-05,1.000E+00
2.841E+03,1.017E+00,5.461E-04,9.995E-01,1.834E-05,1.000E+00
2.842E+03,1.033E+00,4.866E-04,9.998E-01,1.680E-05,1.000E+00
2.843E+03,1.040E+00,4.362E-04,9.999E-01,1.545E-05,1.000E+00
2.844E+03,1.015E+00,3.936E-04,1.000E+00,1.427E-05,1.000E+00
2.845E+03,1.030E+00,3.565E-04,1.000E+00,1.320E-05,1.000E+00
2.846E+03,1.067E+00,3.242E-04,1.000E+00,1.224E-05,1.000E+00
2.847E+03,1.075E+00,2.965E-04,1.000E+00,1.140E-05,1.000E+00
2.848E+03,1.064E+00,2.720E-04,1.000E+00,1.064E-05,1.000E+00
2.849E+03,1.063E+00,2.502E-04,1.000E+00,9.940E-06,1.000E+00
2.850E+03,1.047E+00,2.311E-04,1.000E+00,9.315E-06,1.000E+00
2.851E+03,1.093E+00,2.143E-04,1.000E+00,8.753E-06,1.000E+00
2.852E+03,1.112E+00,1.990E-04,1.000E+00,8.235E-06,1.000E+00
2.853E+03,1.095E+00,1.854E-04,1.000E+00,7.762E-06,1.000E+00
2.854E+03,1.098E+00,1.730E-04,1.000E+00,7.324E-06,1.000E+00
2.855E+03,1.073E+00,1.619E-04,1.000E+00,6.927E-06,1.000E+00
2.856E+03,1.055E+00,1.518E-04,1.000E+00,6.560E-06,1.000E+00
2.857E+03,1.053E+00,1.426E-04,1.000E+00,6.222E-06,1.000E+00
2.858E+03,1.050E+00,1.343E-04,1.000E+00,5.910E-06,1.000E+00
2.859E+03,1.049E+00,1.267E-04,1.000E+00,5.623E-06,1.000E+00
2.860E+03,1.018E+00,1.197E-04,1.000E+00,5.354E-06,1.000E+00
2.861E+03,1.015E+00,1.131E-04,1.000E+00,5.101E-06,1.000E+00
2.862E+03,1.032E+00,1.073E-04,1.000E+00,4.871E-06,1.000E+00
2.863E+03,1.056E+00,1.018E-04,1.000E+00,4.653E-06,1.000E+00
2.864E+03,1.004E+00,9.663E-05,1.000E+00,4.448E-06,1.000E+00
2.865E+03,1.038E+00,9.193E-05,1.000E+00,4.258E-06,1.000E+00
2.866E+03,1.016E+00,8.756E-05,1.000E+00,4.080E-06,1.000E+00
2.867E+03,1.031E+00,8.353E-05,1.000E+00,3.914E-06,1.000E+00
2.868E+03,1.002E+00,7.974E-05,1.000E+00,3.757E-06,1.000E+00
2.869E+03,9.882E-01,7.616E-05,1.000E+00,3.608E-06,1.000E+00
2.870E+03,1.002E+00,7.289E-05,1.000E+00,3.470E-06,1.000E+00
2.871E+03,9.543E-01,6.976E-05,1.000E+00,3.337E-06,1.000E+00
2.872E+03,1.015E+00,6.688E-05,1.000E+00,3.214E-06,1.000E+00
2.873E+03,9.506E-01,6.415E-05,1.000E+00,3.097E-06,1.000E+00
2.874E+03,9.975E-01,6.159E-05,1.000E+00,2.986E-06,1.000E+00
2.875E+03,9.647E-01,5.915E-05,1.000E+00,2.880E-06,1.000E+00
2.876E+03,1.011E+00,5.690E-05,1.000E+00,2.781E-06,1.000E+00
2.877E+03,9.689E-01,5.473E-05,1.000E+00,2.685E-06,1.000E+00
2.878E+03,9.903E-01,5.272E-05,1.000E+00,2.597E-06,1.000E+00
2.879E+03,9.796E-01,5.079E-05,1.000E+00,2.510E-06,1.000E+00
2.880E+03,1.009E+00,4.899E-05,1.000E+00,2.430E-06,1.000E+00
2.881E+03,1.025E+00,4.726E-05,1.000E+00,2.352E-06,1.000E+00
2.882E+03,1.001E+00,4.564E-05,1.000E+00,2.279E-06,1.000E+00
2.883E+03,9.703E-01,4.408E-05,1.000E+00,2.208E-06,1.000E+00
2.884E+03,9.731E-01,4.262E-05,1.000E+00,2.141E-06,1.000E+00
2.885E+03,9.826E-01,4.121E-05,1.000E+00,2.076E-06,1.000E+00
2.886E+03,9.912E-01,3.990E-05,1.000E+00,2.016E-06,1.000E+00
2.887E+03,9.668E-01,3.862E-05,1.000E+00,1.957E-06,1.000E+00
2.888E+03,9.819E-01,3.742E-05,1.000E+00,1.901E-06,1.000E+00
2.889E+03,9.910E-01,3.626E-05,1.000E+00,1.847E-06,1.000E+00
2.890E+03,1.004E+00,3.517E-05,1.000E+00,1.796E-06,1.000E+00
2.891E+03,1.007E+00,3.411E-05,1.000E+00,1.746E-06,1.000E+00
