Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.841E+03,9.921E-01,9.232E-03,9.995E-01,1.121E-04,1.009E+00
2.842E+03,9.925E-01,8.219E-03,9.998E-01,1.027E-04,1.008E+00
2.843E+03,9.939E-01,7.364E-03,9.999E-01,9.448E-05,1.007E+00
2.844E+03,1.014E+00,6.641E-03,9.999E-01,8.727E-05,1.007E+00
2.845E+03,9.947E-01,6.014E-03,1.000E+00,8.079E-05,1.006E+00
2.846E+03,1.009E+00,5.466E-03,1.000E+00,7.496E-05,1.006E+00
2.847E+03,1.022E+00,4.998E-03,1.000E+00,6.983E-05,1.005E+00
2.848E+03,1.016E+00,4.584E-03,1.000E+00,6.516E-05,1.005E+00
2.849E+03,1.023E+00,4.216E-03,1.000E+00,6.091E-05,1.004E+00
2.850E+03,1.040E+00,3.893E-03,1.000E+00,5.710E-05,1.004E+00
2.851E+03,1.055E+00,3.608E-03,1.000E+00,5.367E-05,1.004E+00
2.852E+03,1.060E+00,3.352E-03,1.000E+00,5.050E-05,1.003E+00
2.853E+03,1.061E+00,3.121E-03,1.000E+00,4.761E-05,1.003E+00
2.854E+03,1.049E+00,2.912E-03,1.000E+00,4.494E-05,1.003E+00
2.855E+03,1.057E+00,2.724E-03,1.000E+00,4.251E-05,1.003E+00
2.856E+03,1.049E+00,2.554E-03,1.000E+00,4.027E-05,1.003E+00
2.857E+03,1.036E+00,2.400E-03,1.000E+00,3.820E-05,1.002E+00
2.858E+03,1.034E+00,2.259E-03,1.000E+00,3.629E-05,1.002E+00
2.859E+03,1.032E+00,2.131E-03,1.000E+00,3.453E-05,1.002E+00
2.860E+03,1.042E+00,2.013E-03,1.000E+00,3.288E-05,1.002E+00
2.861E+03,1.039E+00,1.903E-03,1.000E+00,3.134E-05,1.002E+00
2.862E+03,1.045E+00,1.804E-03,1.000E+00,2.993E-05,1.002E+00
2.863E+03,1.040E+00,1.712E-03,1.000E+00,2.859E-05,1.002E+00
2.864E+03,1.031E+00,1.625E-03,1.000E+00,2.734E-05,1.002E+00
2.865E+03,1.021E+00,1.546E-03,1.000E+00,2.617E-05,1.002E+00
2.866E+03,1.022E+00,1.473E-03,1.000E+00,2.508E-05,1.001E+00
2.867E+03,1.017E+00,1.405E-03,1.000E+00,2.407E-05,1.001E+00
2.868E+03,1.014E+00,1.341E-03,1.000E+00,2.310E-05,1.001E+00
2.869E+03,1.024E+00,1.281E-03,1.000E+00,2.219E-05,1.001E+00
2.870E+03,1.004E+00,1.226E-03,1.000E+00,2.134E-05,1.001E+00
2.871E+03,1.005E+00,1.173E-03,1.000E+00,2.053E-05,1.001E+00
2.872E+03,1.010E+00,1.125E-03,1.000E+00,1.977E-05,1.001E+00
2.873E+03,9.918E-01,1.079E-03,1.000E+00,1.905E-05,1.001E+00
2.874E+03,9.971E-01,1.036E-03,1.000E+00,1.837E-05,1.001E+00
2.875E+03,1.003E+00,9.945E-04,1.000E+00,1.772E-05,1.001E+00
2.876E+03,1.001E+00,9.567E-04,1.000E+00,1.711E-05,1.001E+00
2.877E+03,9.937E-01,9.202E-04,1.000E+00,1.653E-05,1.001E+00
2.878E+03,9.956E-01,8.864E-04,1.000E+00,1.598E-05,1.001E+00
2.879E+03,1.001E+00,8.539E-04,1.000E+00,1.545E-05,1.001E+00
2.880E+03,1.005E+00,8.237E-04,1.000E+00,1.496E-05,1.001E+00
2.881E+03,9.987E-01,7.945E-04,1.000E+00,1.448E-05,1.001E+00
2.882E+03,1.000E+00,7.673E-04,1.000E+00,1.403E-05,1.001E+00
2.883E+03,9.870E-01,7.411E-04,1.000E+00,1.359E-05,1.001E+00
2.884E+03,9.848E-01,7.166E-04,1.000E+00,1.318E-05,1.001E+00
2.885E+03,9.883E-01,6.929E-04,1.000E+00,1.279E-05,1.001E+00
2.886E+03,9.802E-01,6.707E-04,1.000E+00,1.241E-05,1.001E+00
2.887E+03,9.906E-01,6.492E-04,1.000E+00,1.205E-05,1.001E+00
2.888E+03,1.000E+00,6.291E-04,1.000E+00,1.171E-05,1.001E+00
2.889E+03,9.949E-01,6.096E-04,1.000E+00,1.138E-05,1.001E+00
2.890E+03,9.963E-01,5.913E-04,1.000E+00,1.106E-05,1.001E+00
2.891E+03,1.002E+00,5.734E-04,1.000E+00,1.076E-05,1.001E+00
2.892E+03,1.007E+00,5.566E-04,1.000E+00,1.046E-05,1.001E+00
