Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.830E+03,9.781E-01,7.636E-02,8.451E-01,2.893E-04,9.218E-01
2.830E+03,9.422E-01,6.487E-02,8.535E-01,2.815E-04,9.186E-01
2.830E+03,9.623E-01,5.434E-02,8.620E-01,2.736E-04,9.166E-01
2.830E+03,9.696E-01,4.589E-02,8.697E-01,2.664E-04,9.158E-01
2.830E+03,9.665E-01,3.912E-02,8.765E-01,2.600E-04,9.159E-01
2.830E+03,9.239E-01,3.292E-02,8.835E-01,2.534E-04,9.167E-01
2.830E+03,9.518E-01,2.735E-02,8.907E-01,2.466E-04,9.183E-01
2.831E+03,9.330E-01,2.298E-02,8.971E-01,2.405E-04,9.203E-01
2.831E+03,9.486E-01,1.955E-02,9.028E-01,2.350E-04,9.226E-01
2.831E+03,9.481E-01,1.645E-02,9.086E-01,2.293E-04,9.253E-01
2.831E+03,9.267E-01,1.388E-02,9.141E-01,2.238E-04,9.282E-01
2.831E+03,9.080E-01,1.162E-02,9.197E-01,2.182E-04,9.316E-01
2.831E+03,9.453E-01,9.888E-03,9.247E-01,2.131E-04,9.348E-01
2.832E+03,9.392E-01,8.462E-03,9.295E-01,2.081E-04,9.381E-01
2.832E+03,9.125E-01,7.293E-03,9.339E-01,2.034E-04,9.414E-01
2.832E+03,8.915E-01,6.393E-03,9.379E-01,1.991E-04,9.445E-01
2.832E+03,9.189E-01,5.600E-03,9.419E-01,1.946E-04,9.477E-01
2.832E+03,9.185E-01,4.952E-03,9.458E-01,1.903E-04,9.509E-01
2.832E+03,9.102E-01,4.423E-03,9.494E-01,1.862E-04,9.540E-01
2.832E+03,8.874E-01,3.963E-03,9.530E-01,1.819E-04,9.571E-01
2.833E+03,8.972E-01,3.611E-03,9.562E-01,1.780E-04,9.599E-01
2.833E+03,8.983E-01,3.322E-03,9.592E-01,1.742E-04,9.627E-01
2.833E+03,9.014E-01,3.081E-03,9.620E-01,1.706E-04,9.652E-01
2.833E+03,9.194E-01,2.880E-03,9.646E-01,1.670E-04,9.677E-01
2.833E+03,9.261E-01,2.711E-03,9.671E-01,1.636E-04,9.700E-01
2.833E+03,9.155E-01,2.567E-03,9.695E-01,1.603E-04,9.722E-01
2.833E+03,9.035E-01,2.443E-03,9.717E-01,1.571E-04,9.743E-01
2.834E+03,9.208E-01,2.335E-03,9.737E-01,1.539E-04,9.762E-01
2.834E+03,9.517E-01,2.240E-03,9.757E-01,1.509E-04,9.781E-01
2.834E+03,9.567E-01,2.155E-03,9.775E-01,1.480E-04,9.798E-01
2.834E+03,9.321E-01,2.079E-03,9.792E-01,1.451E-04,9.814E-01
2.834E+03,9.333E-01,2.009E-03,9.807E-01,1.423E-04,9.829E-01
2.834E+03,9.890E-01,1.945E-03,9.822E-01,1.396E-04,9.843E-01
