Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.831E+03,9.555E-01,4.461E-02,9.021E-01,6.034E-04,9.473E-01
2.831E+03,9.522E-01,4.224E-02,9.082E-01,5.891E-04,9.510E-01
2.831E+03,9.556E-01,4.013E-02,9.140E-01,5.754E-04,9.547E-01
2.831E+03,9.458E-01,3.809E-02,9.200E-01,5.613E-04,9.586E-01
2.831E+03,9.527E-01,3.637E-02,9.252E-01,5.485E-04,9.621E-01
2.832E+03,9.603E-01,3.478E-02,9.302E-01,5.362E-04,9.655E-01
2.832E+03,9.390E-01,3.332E-02,9.350E-01,5.243E-04,9.688E-01
2.832E+03,9.907E-01,3.206E-02,9.391E-01,5.135E-04,9.717E-01
2.832E+03,9.347E-01,3.080E-02,9.434E-01,5.023E-04,9.747E-01
2.832E+03,9.299E-01,2.962E-02,9.474E-01,4.915E-04,9.775E-01
2.832E+03,9.406E-01,2.852E-02,9.512E-01,4.810E-04,9.802E-01
2.832E+03,9.166E-01,2.741E-02,9.550E-01,4.702E-04,9.829E-01
2.833E+03,9.261E-01,2.643E-02,9.583E-01,4.604E-04,9.852E-01
2.833E+03,9.543E-01,2.551E-02,9.614E-01,4.509E-04,9.874E-01
2.833E+03,9.233E-01,2.464E-02,9.644E-01,4.416E-04,9.894E-01
2.833E+03,9.476E-01,2.381E-02,9.671E-01,4.327E-04,9.914E-01
2.833E+03,9.470E-01,2.302E-02,9.697E-01,4.240E-04,9.931E-01
2.833E+03,9.702E-01,2.227E-02,9.721E-01,4.156E-04,9.948E-01
2.833E+03,9.639E-01,2.156E-02,9.743E-01,4.075E-04,9.963E-01
2.834E+03,9.837E-01,2.088E-02,9.764E-01,3.995E-04,9.977E-01
2.834E+03,9.883E-01,2.024E-02,9.783E-01,3.918E-04,9.990E-01
2.834E+03,1.002E+00,1.962E-02,9.801E-01,3.844E-04,1.000E+00
2.834E+03,9.886E-01,1.903E-02,9.818E-01,3.771E-04,1.001E+00
2.834E+03,1.025E+00,1.846E-02,9.834E-01,3.700E-04,1.002E+00
2.834E+03,1.026E+00,1.792E-02,9.848E-01,3.632E-04,1.003E+00
2.835E+03,1.048E+00,1.741E-02,9.861E-01,3.565E-04,1.004E+00
2.835E+03,1.060E+00,1.691E-02,9.874E-01,3.500E-04,1.005E+00
2.835E+03,1.069E+00,1.644E-02,9.885E-01,3.437E-04,1.005E+00
2.835E+03,1.099E+00,1.598E-02,9.895E-01,3.375E-04,1.006E+00
